Place,Deck,Pilot,deck_id,PC1,PC2
8th,Murktide Regent,_Tia93_,4354646,2.3730785749435,-1.11555095562931
1st,Crashing Footfalls,patheus_84,4343079,2.18596437333458,3.85348007436889
2nd,4c Blink,MartinezDP,4343081,5.3196249091786,5.51694661158205
3rd,Crashing Footfalls,Arrias,4343083,2.20061045306949,3.993302587
4th,Hammer Time,CrusherBotBG,4343085,-2.93807279177617,-7.28167777664352
5th,Titan Shift,ginp,4343087,-3.24031521594854,5.4732111925118
6th,Burn,melody_5233,4343089,0.452445527786104,-3.60867791347429
7th,Azorius Control,koko_lopez,4343091,6.50128120053948,4.5801921302213
8th,Dredge,RagingTiltMonster,4343093,-2.26861883134903,-2.94355102171286
1st,Living End,bellfy,4342343,1.74492301835779,4.21233774614133
2nd,Elementals,Kaijimmy,4342344,3.49272644244483,5.14705332727744
3rd,Yawgmoth,Boucha,4342345,-16.4796984296118,9.40908397651349
4th,Jund,Leviathan102,4342346,-1.74755336369781,-4.0549541106633
5th,Affinity,ColaKaKAO,4342347,-3.84832932342436,-6.95123472477044
6th,Azorius Control,ZYURYO,4342348,6.32084104536422,4.93206322529927
7th,Reanimator,barczek,4342349,2.94510853590881,-0.245387034560714
8th,Ad Nauseam,mashmalovsky,4342350,-1.68129048537788,-3.36352828217636
1st,4c Blink,BMoney3Stacks,4326045,5.75574757900644,5.73996504331244
2nd,Murktide Regent,swff,4326046,2.34422567479057,-1.09897937442579
3rd,4c Living End,keeline,4326047,1.64826948223493,3.84340568815995
4th,Jund,GodOfSlaughter,4326048,-1.67808264897147,-4.15339523266784
5th,Hammer Time,John1111,4326049,-2.9642047699072,-6.82563621597197
6th,Dimir Mill,tibalt_of_red_sub,4326050,0.415063023585835,-6.9125506449866
7th,Burn,frakom,4326051,0.365398399389557,-3.69599254319235
8th,Domain Zoo,guiyote,4326052,0.465968961043311,-1.52963117886361
1st,Jund,M4RK,4325030,-1.2119748526387,-4.44722186611393
2nd,Hammer Time,Amplumnox,4325031,-2.94532103155186,-6.83350190894785
